shamsi_year_month,y,yhat,yhat_lower,yhat_upper,service,category
(1401-05),1779.0,2065.8448692111465,1265.248724031362,2865.0260365531226,اسباب کشی با خاور و کامیون,باربری و جابجایی
(1401-06),1831.0,1983.554722602735,1183.3133651376438,2777.643948393128,اسباب کشی با خاور و کامیون,باربری و جابجایی
(1401-07),1293.0,1387.7681639143032,603.6627000549986,2167.6344769667803,اسباب کشی با خاور و کامیون,باربری و جابجایی
(1401-08),1200.0,1143.45734255985,371.1499439379939,1926.6946000993207,اسباب کشی با خاور و کامیون,باربری و جابجایی
(1401-09),1182.0,963.9743434638584,184.95231680428068,1742.5870929386956,اسباب کشی با خاور و کامیون,باربری و جابجایی
(1401-10),1416.0,1205.3415289961754,435.97504469810696,1975.3226907755031,اسباب کشی با خاور و کامیون,باربری و جابجایی
(1401-11),947.0,1059.9556754299947,281.8700161085635,1831.134448862124,اسباب کشی با خاور و کامیون,باربری و جابجایی
(1401-12),758.0,959.969027344423,206.02636105243323,1712.287571489746,اسباب کشی با خاور و کامیون,باربری و جابجایی
(1402-01),395.0,414.32730982903865,-385.84770118265226,1217.6197886436123,اسباب کشی با خاور و کامیون,باربری و جابجایی
(1402-02),1066.0,1076.1471045564672,277.240287849218,1882.770158206248,اسباب کشی با خاور و کامیون,باربری و جابجایی
(1402-03),1450.0,1734.556708790478,920.9408524206845,2545.031054695859,اسباب کشی با خاور و کامیون,باربری و جابجایی
(1402-04),2308.0,2304.255013843385,1501.4243199720506,3113.004797735596,اسباب کشی با خاور و کامیون,باربری و جابجایی
(1402-05),1890.0,1829.0361964623,1019.248828758696,2631.162119252685,اسباب کشی با خاور و کامیون,باربری و جابجایی
(1402-06),1963.0,1845.4008520024356,1029.7276433165537,2648.2667579399904,اسباب کشی با خاور و کامیون,باربری و جابجایی
(1402-07),1281.0,1209.6129330410852,435.3990890238434,1987.2522342082696,اسباب کشی با خاور و کامیون,باربری و جابجایی
(1402-08),1199.0,1072.2832626643317,291.7666788089476,1849.830437663438,اسباب کشی با خاور و کامیون,باربری و جابجایی
(1402-09),976.0,976.1133812121352,199.91090080849364,1750.3549534691704,اسباب کشی با خاور و کامیون,باربری و جابجایی
(1402-10),968.0,1193.9555247156734,418.74678302721736,1969.8379729217077,اسباب کشی با خاور و کامیون,باربری و جابجایی
(1402-11),1152.0,1159.433111936388,392.27777874440494,1932.007204699653,اسباب کشی با خاور و کامیون,باربری و جابجایی
(1402-12),1206.0,1126.6308992453462,372.4544161823709,1879.980260934003,اسباب کشی با خاور و کامیون,باربری و جابجایی
(1403-01),595.0,705.0382084537003,-89.70734966251703,1498.7410295070945,اسباب کشی با خاور و کامیون,باربری و جابجایی
(1403-02),1492.0,1339.026585867311,527.6054967424257,2148.8989554151067,اسباب کشی با خاور و کامیون,باربری و جابجایی
(1403-03),2165.0,2156.204247300824,1345.228545607153,2945.8628342142774,اسباب کشی با خاور و کامیون,باربری و جابجایی
(1403-04),2419.0,2721.7452943502567,1916.7146767811653,3530.115778763421,اسباب کشی با خاور و کامیون,باربری و جابجایی
(1403-05),2498.0,2364.2571519405183,1557.1241218757366,3164.5844343968383,اسباب کشی با خاور و کامیون,باربری و جابجایی
(1403-06),2619.0,2442.517055516901,1642.6238535964856,3249.31187447492,اسباب کشی با خاور و کامیون,باربری و جابجایی
(1403-07),1757.0,1870.5741371991776,1092.4920488387304,2652.2739960898566,اسباب کشی با خاور و کامیون,باربری و جابجایی
(1403-08),1613.0,1807.7909125874849,1028.4875505140944,2589.8652818446744,اسباب کشی با خاور و کامیون,باربری و جابجایی
(1403-09),1650.0,1823.7389392426803,1044.0538821790487,2586.192202724038,اسباب کشی با خاور و کامیون,باربری و جابجایی
(1403-10),2050.0,2010.4339624441257,1245.019578627074,2790.7337045277486,اسباب کشی با خاور و کامیون,باربری و جابجایی
(1403-11),2242.0,2099.062763222179,1323.5394160186815,2881.4345030774684,اسباب کشی با خاور و کامیون,باربری و جابجایی
(1403-12),2369.0,2166.419838680388,1379.1873303508046,2938.873715420014,اسباب کشی با خاور و کامیون,باربری و جابجایی
(1404-01),0.0,1735.5918390708669,936.9897056641054,2534.37182165474,اسباب کشی با خاور و کامیون,باربری و جابجایی
(1404-02),0.0,2485.1088242693104,1678.2866965315911,3287.256630181081,اسباب کشی با خاور و کامیون,باربری و جابجایی
(1404-03),0.0,3361.5290222562826,2557.3996485184907,4155.679593369244,اسباب کشی با خاور و کامیون,باربری و جابجایی
(1404-04),0.0,3841.5363028450206,3033.6460530475897,4639.46453563097,اسباب کشی با خاور و کامیون,باربری و جابجایی
