shamsi_year_month,y,yhat,yhat_lower,yhat_upper,service,category
(1405-05),0.0,1177.2652474318606,993.179615841292,1360.88216300869,آچار فرانسه,خدمات و تعمیرات ساختمان
(1405-06),0.0,1148.9286704498152,966.5506545002304,1332.3940822091404,آچار فرانسه,خدمات و تعمیرات ساختمان
(1405-07),0.0,1091.7282133724757,913.1241658456048,1271.2017691781705,آچار فرانسه,خدمات و تعمیرات ساختمان
(1405-08),0.0,1127.99549413048,948.372953050886,1308.422020180983,آچار فرانسه,خدمات و تعمیرات ساختمان
(1401-01),739.0,637.5422084044118,-271.08830033405053,1542.2788987383312,اسباب کشی با خاور و کامیون,باربری و جابجایی
(1401-02),1347.0,1503.5820271655414,588.1215902114895,2411.008196653676,اسباب کشی با خاور و کامیون,باربری و جابجایی
(1401-03),2237.0,2082.4685049343225,1173.7853906361072,2992.0591192771462,اسباب کشی با خاور و کامیون,باربری و جابجایی
(1401-04),3103.0,2527.8416550556976,1641.6899358451583,3431.4259675977846,اسباب کشی با خاور و کامیون,باربری و جابجایی
(1401-05),1779.0,2032.678360806574,1130.9329099090291,2935.743093300087,اسباب کشی با خاور و کامیون,باربری و جابجایی
(1401-06),1831.0,2063.077729694737,1156.546356200246,2962.442892340548,اسباب کشی با خاور و کامیون,باربری و جابجایی
(1401-07),1293.0,1424.5752512319204,550.0046410541055,2299.3553403497167,اسباب کشی با خاور و کامیون,باربری و جابجایی
(1401-08),1200.0,1163.2737530383265,283.58960054608605,2042.2350477076668,اسباب کشی با خاور و کامیون,باربری و جابجایی
(1401-09),1182.0,1026.8233090405056,161.18115124538647,1903.5034891569355,اسباب کشی با خاور و کامیون,باربری و جابجایی
(1401-10),1416.0,1266.2391937823445,401.6618791266451,2136.328218602752,اسباب کشی با خاور و کامیون,باربری و جابجایی
(1401-11),947.0,1114.594486260168,255.9701273622383,1995.1280148908768,اسباب کشی با خاور و کامیون,باربری و جابجایی
(1401-12),758.0,1011.92818435127,159.03168422730323,1864.2225492672017,اسباب کشی با خاور و کامیون,باربری و جابجایی
(1402-01),395.0,292.66521334333885,-610.1946253326635,1197.113228717863,اسباب کشی با خاور و کامیون,باربری و جابجایی
(1402-02),1066.0,1080.3641730091167,183.4991661312205,1992.0750708508515,اسباب کشی با خاور و کامیون,باربری و جابجایی
(1402-03),1450.0,1744.4307901993309,841.595085432817,2654.2755372481383,اسباب کشی با خاور و کامیون,باربری و جابجایی
(1402-04),2308.0,2217.7484450346938,1308.5251449895927,3110.8496725002706,اسباب کشی با خاور و کامیون,باربری و جابجایی
(1402-05),1890.0,1787.90196539379,875.4674955083743,2685.4855794135824,اسباب کشی با خاور و کامیون,باربری و جابجایی
(1402-06),1963.0,1914.8510494346256,1012.0811219857568,2815.7931106781643,اسباب کشی با خاور و کامیون,باربری و جابجایی
(1402-07),1281.0,1222.924805335772,365.9666664491937,2103.531394741677,اسباب کشی با خاور و کامیون,باربری و جابجایی
(1402-08),1199.0,1068.3014519031815,198.8953181357484,1945.4111228185825,اسباب کشی با خاور و کامیون,باربری و جابجایی
(1402-09),976.0,1016.088118587244,146.2462075290958,1892.9590288530017,اسباب کشی با خاور و کامیون,باربری و جابجایی
(1402-10),968.0,1225.0680822376464,348.551542345826,2102.655910261816,اسباب کشی با خاور و کامیون,باربری و جابجایی
(1402-11),1152.0,1205.402981723548,337.8386060489614,2081.4542899795106,اسباب کشی با خاور و کامیون,باربری و جابجایی
(1402-12),1206.0,1187.4585972906873,335.99040210578585,2034.662507771768,اسباب کشی با خاور و کامیون,باربری و جابجایی
(1403-01),595.0,613.7148825795757,-296.4794141138008,1511.352345311775,اسباب کشی با خاور و کامیون,باربری و جابجایی
(1403-02),1492.0,1374.682303373802,474.5009959083643,2285.4689989822296,اسباب کشی با خاور و کامیون,باربری و جابجایی
(1403-03),2165.0,2211.0605828249186,1310.8397591625376,3112.408931270146,اسباب کشی با خاور و کامیون,باربری و جابجایی
(1403-04),2419.0,2661.376774841406,1756.2439135796517,3565.536726393605,اسباب کشی با خاور و کامیون,باربری و جابجایی
(1403-05),2498.0,2339.8976807683644,1437.2763842865984,3226.8948705629887,اسباب کشی با خاور و کامیون,باربری و جابجایی
(1403-06),2619.0,2496.58874048967,1600.7704603017987,3390.5434812744934,اسباب کشی با خاور و کامیون,باربری و جابجایی
(1403-07),1757.0,1848.066123828752,968.5757019189898,2723.3437204673555,اسباب کشی با خاور و کامیون,باربری و جابجایی
(1403-08),1613.0,1738.2901511273312,862.0667561713313,2600.4017620693003,اسباب کشی با خاور و کامیون,باربری و جابجایی
(1403-09),1650.0,1774.1685763134203,898.3794299928667,2645.401858679428,اسباب کشی با خاور و کامیون,باربری و جابجایی
(1403-10),2050.0,1906.974865015612,1030.1397072739144,2783.598597790178,اسباب کشی با خاور و کامیون,باربری و جابجایی
(1403-11),2242.0,1972.7185941706664,1090.9534117434212,2833.363112546383,اسباب کشی با خاور و کامیون,باربری و جابجایی
(1403-12),2369.0,2006.4433682026065,1139.126035744699,2879.370809917842,اسباب کشی با خاور و کامیون,باربری و جابجایی
(1404-01),969.0,1356.904756489993,457.4915608934903,2263.0833400993183,اسباب کشی با خاور و کامیون,باربری و جابجایی
(1404-02),2184.0,2202.92680821818,1297.6726819272442,3107.9180716722994,اسباب کشی با خاور و کامیون,باربری و جابجایی
(1404-03),3119.0,3058.884856051305,2153.168606193716,3964.9086497082926,اسباب کشی با خاور و کامیون,باربری و جابجایی
(1404-04),3147.0,3400.4413465201305,2497.9310324789544,4297.568457675447,اسباب کشی با خاور و کامیون,باربری و جابجایی
(1404-05),3173.0,3215.391729905988,2314.2812305236703,4121.324720628059,اسباب کشی با خاور و کامیون,باربری و جابجایی
(1404-06),3424.0,3182.9070665788054,2272.9561400957377,4079.67108957553,اسباب کشی با خاور و کامیون,باربری و جابجایی
(1404-07),2552.0,2611.847334415653,1740.4747452274453,3485.53087015387,اسباب کشی با خاور و کامیون,باربری و جابجایی
(1404-08),2649.0,2590.6727670124064,1712.1294843291469,3460.5691864430687,اسباب کشی با خاور و کامیون,باربری و جابجایی
(1404-09),0.0,2434.607438697502,1572.005812000956,3295.555429706985,اسباب کشی با خاور و کامیون,باربری و جابجایی
(1404-10),0.0,2691.145697340796,1820.3077698486088,3574.930076455167,اسباب کشی با خاور و کامیون,باربری و جابجایی
(1404-11),0.0,2776.6913956478948,1894.1912494162284,3652.541789305808,اسباب کشی با خاور و کامیون,باربری و جابجایی
(1404-12),0.0,2702.596826191879,1859.9125331391,3551.48294057087,اسباب کشی با خاور و کامیون,باربری و جابجایی
(1405-01),0.0,2088.326576063507,1187.7405954001188,3000.707565554279,اسباب کشی با خاور و کامیون,باربری و جابجایی
(1405-02),0.0,3024.8120396917584,2124.2017353255424,3913.784657311051,اسباب کشی با خاور و کامیون,باربری و جابجایی
(1405-03),0.0,3796.4418136432178,2894.1998298912963,4697.280509170461,اسباب کشی با خاور و کامیون,باربری و جابجایی
(1405-04),0.0,4198.34081090967,3283.9617247693045,5105.869713445708,اسباب کشی با خاور و کامیون,باربری و جابجایی
(1405-05),0.0,3997.3934452912135,3091.987383395351,4905.726507920396,اسباب کشی با خاور و کامیون,باربری و جابجایی
(1405-06),0.0,3977.241475092204,3067.070767218137,4882.1765441708485,اسباب کشی با خاور و کامیون,باربری و جابجایی
(1405-07),0.0,3418.8479514524256,2533.918810920245,4298.575552534161,اسباب کشی با خاور و کامیون,باربری و جابجایی
(1405-08),0.0,3308.1833351702107,2433.207316105171,4183.394019350828,اسباب کشی با خاور و کامیون,باربری و جابجایی
(1401-01),219.0,252.20170411728975,62.132642546465256,440.85169175935033,اصلاح صورت و ابرو بانوان,زیبایی بانوان
(1401-02),255.0,265.5213796545424,74.0880754974757,455.47573036004593,اصلاح صورت و ابرو بانوان,زیبایی بانوان
(1401-03),281.0,260.9404792643845,70.50133708762841,453.47305006247456,اصلاح صورت و ابرو بانوان,زیبایی بانوان
(1401-04),273.0,267.0926514069056,78.36858940373752,457.900101017941,اصلاح صورت و ابرو بانوان,زیبایی بانوان
(1401-05),279.0,243.17532107201475,55.83850293883171,430.8217285984848,اصلاح صورت و ابرو بانوان,زیبایی بانوان
(1401-06),208.0,228.1816571657172,38.364707137229,418.63094226408566,اصلاح صورت و ابرو بانوان,زیبایی بانوان
(1401-07),228.0,226.1055895144121,41.51738009290547,413.8134689800929,اصلاح صورت و ابرو بانوان,زیبایی بانوان
(1401-08),213.0,203.02629006906687,17.055441164007593,387.4139189578642,اصلاح صورت و ابرو بانوان,زیبایی بانوان
(1401-09),165.0,198.5852988824695,15.684180393570712,380.3726401338405,اصلاح صورت و ابرو بانوان,زیبایی بانوان
(1401-10),215.0,200.2042924021376,14.15934422065698,383.5071987538025,اصلاح صورت و ابرو بانوان,زیبایی بانوان
(1401-11),218.0,219.91475887349588,33.9265732566799,401.66108087032177,اصلاح صورت و ابرو بانوان,زیبایی بانوان
(1401-12),485.0,361.0733737191037,181.94720505569396,538.562578058893,اصلاح صورت و ابرو بانوان,زیبایی بانوان
(1402-01),179.0,225.9989818641538,47.05769233698908,403.3471794982628,اصلاح صورت و ابرو بانوان,زیبایی بانوان
(1402-02),253.0,236.56798951952587,47.62252990052099,425.52223518928463,اصلاح صورت و ابرو بانوان,زیبایی بانوان
(1402-03),204.0,232.62342832824064,39.76551500057221,422.8569698980613,اصلاح صورت و ابرو بانوان,زیبایی بانوان
(1402-04),273.0,233.7796777955258,44.29107476358613,425.6943643903305,اصلاح صورت و ابرو بانوان,زیبایی بانوان
(1402-05),164.0,202.4986941261516,18.130276724193852,387.29906097035706,اصلاح صورت و ابرو بانوان,زیبایی بانوان
(1402-06),179.0,190.2039322886172,-0.3014756603163785,381.1989663855661,اصلاح صورت و ابرو بانوان,زیبایی بانوان
(1402-07),168.0,187.9606979065412,3.673362786380856,373.8371232924914,اصلاح صورت و ابرو بانوان,زیبایی بانوان
(1402-08),161.0,163.20624128094158,-20.53513142553189,347.79235403795303,اصلاح صورت و ابرو بانوان,زیبایی بانوان
(1402-09),168.0,159.04108003251034,-27.78065685471715,341.3401172504876,اصلاح صورت و ابرو بانوان,زیبایی بانوان
(1402-10),139.0,158.20535214091706,-26.898297269088616,340.9497920776983,اصلاح صورت و ابرو بانوان,زیبایی بانوان
(1402-11),166.0,183.24124932149735,0.2163866641093959,370.30403501348303,اصلاح صورت و ابرو بانوان,زیبایی بانوان
(1402-12),322.0,326.49509296218645,147.88980340066627,505.5446520237666,اصلاح صورت و ابرو بانوان,زیبایی بانوان
(1403-01),124.0,196.7314248894168,11.570179088419009,380.485810572056,اصلاح صورت و ابرو بانوان,زیبایی بانوان
(1403-02),206.0,221.77930188445285,32.62360967552366,413.1119877562268,اصلاح صورت و ابرو بانوان,زیبایی بانوان
(1403-03),256.0,227.24823480087807,37.36798740352233,417.3270892595374,اصلاح صورت و ابرو بانوان,زیبایی بانوان
(1403-04),258.0,234.3119470181696,43.31378742570239,422.7019074173883,اصلاح صورت و ابرو بانوان,زیبایی بانوان
(1403-05),222.0,222.1525546325601,32.63226056298506,412.10280939703,اصلاح صورت و ابرو بانوان,زیبایی بانوان
(1403-06),220.0,210.1629471061944,20.396097376207653,398.9205766464993,اصلاح صورت و ابرو بانوان,زیبایی بانوان
(1403-07),226.0,211.4007482899136,35.5748175734331,388.61805441695736,اصلاح صورت و ابرو بانوان,زیبایی بانوان
(1403-08),195.0,200.49576237290236,17.997784363307925,383.7221982186744,اصلاح صورت و ابرو بانوان,زیبایی بانوان
(1403-09),253.0,198.23669430332836,14.363726289824932,383.8256897339031,اصلاح صورت و ابرو بانوان,زیبایی بانوان
(1403-10),195.0,200.74888354528792,19.619294312759123,383.3269509067709,اصلاح صورت و ابرو بانوان,زیبایی بانوان
(1403-11),240.0,222.71128356314296,38.45807641607559,406.5474454148035,اصلاح صورت و ابرو بانوان,زیبایی بانوان
(1403-12),465.0,373.3332140006233,190.24492382430824,556.2979825054842,اصلاح صورت و ابرو بانوان,زیبایی بانوان
(1404-01),169.0,220.98309904331796,29.379801763353623,410.9608280738806,اصلاح صورت و ابرو بانوان,زیبایی بانوان
(1404-02),231.0,234.68765643178472,44.67858762425599,427.86525485590585,اصلاح صورت و ابرو بانوان,زیبایی بانوان
(1404-03),188.0,218.01483581448247,34.48787729938415,401.7458988857859,اصلاح صورت و ابرو بانوان,زیبایی بانوان
(1404-04),158.0,224.56523122624,35.17203850999428,414.19195484336495,اصلاح صورت و ابرو بانوان,زیبایی بانوان
(1404-05),186.0,200.45187103108236,11.216961782655634,393.08405340472143,اصلاح صورت و ابرو بانوان,زیبایی بانوان
(1404-06),203.0,176.26912334874757,-14.741128319334004,365.4058277473288,اصلاح صورت و ابرو بانوان,زیبایی بانوان
(1404-07),185.0,176.20984114654368,-9.369194340551015,361.4210330018145,اصلاح صورت و ابرو بانوان,زیبایی بانوان
(1404-08),149.0,148.27637902475087,-34.58980006803633,332.25515467229496,اصلاح صورت و ابرو بانوان,زیبایی بانوان
(1404-09),0.0,137.5778422169559,-45.91962668357139,318.88710689935056,اصلاح صورت و ابرو بانوان,زیبایی بانوان
(1404-10),0.0,135.1765155767979,-48.94468061910764,318.3115252248334,اصلاح صورت و ابرو بانوان,زیبایی بانوان
(1404-11),0.0,155.20542807004617,-29.68155084758831,336.73562829201325,اصلاح صورت و ابرو بانوان,زیبایی بانوان
(1404-12),0.0,295.0473969676276,116.94690622942976,471.085191722193,اصلاح صورت و ابرو بانوان,زیبایی بانوان
(1405-01),0.0,151.97297833871673,-39.25117795013176,343.8887840834079,اصلاح صورت و ابرو بانوان,زیبایی بانوان
(1405-02),0.0,163.88979613641268,-27.675628847574487,349.3562047823258,اصلاح صورت و ابرو بانوان,زیبایی بانوان
(1405-03),0.0,151.8950103102911,-36.76660414084554,339.53908402039286,اصلاح صورت و ابرو بانوان,زیبایی بانوان
(1405-04),0.0,153.73280784560563,-40.10997432942975,344.90782859285247,اصلاح صورت و ابرو بانوان,زیبایی بانوان
(1405-05),0.0,127.25936308319108,-64.60715726373517,317.7282576540545,اصلاح صورت و ابرو بانوان,زیبایی بانوان
(1405-06),0.0,103.9577003577082,-88.41318451818184,296.3103625949294,اصلاح صورت و ابرو بانوان,زیبایی بانوان
(1405-07),0.0,108.0236463087232,-76.70283567632866,295.7603511229016,اصلاح صورت و ابرو بانوان,زیبایی بانوان
(1405-08),0.0,76.5655430824495,-108.91403696310226,262.02226929010465,اصلاح صورت و ابرو بانوان,زیبایی بانوان
(1401-01),159.0,220.59402316099496,81.48783350960437,356.49498901150343,امداد خودرو,خدمات و تعمیرات خودرو
(1401-02),200.0,219.8148876252547,81.47696687962345,358.55886977038773,امداد خودرو,خدمات و تعمیرات خودرو
(1401-03),250.0,268.4121897679833,128.6037296813093,406.0075807295824,امداد خودرو,خدمات و تعمیرات خودرو
(1401-04),367.0,305.77376757074364,167.02859472063997,444.9906858045708,امداد خودرو,خدمات و تعمیرات خودرو
(1401-05),399.0,331.1926634020146,192.87105536147607,469.4299460030516,امداد خودرو,خدمات و تعمیرات خودرو
(1401-06),305.0,293.7862802690153,155.7775288665246,432.9041948074757,امداد خودرو,خدمات و تعمیرات خودرو
(1401-07),197.0,221.8310871394985,87.84055048308032,357.70810926655804,امداد خودرو,خدمات و تعمیرات خودرو
(1401-08),197.0,201.86914170502027,67.13358184335529,336.6456754241158,امداد خودرو,خدمات و تعمیرات خودرو
(1401-09),199.0,197.87456081410863,66.04178336956198,330.61370326643146,امداد خودرو,خدمات و تعمیرات خودرو
(1401-10),287.0,210.20796925211832,75.61348584586383,342.0040508283066,امداد خودرو,خدمات و تعمیرات خودرو
