shamsi_year_month,y,yhat,yhat_lower,yhat_upper,service,category,yhat_diff,yhat_low_diff,yhat_high_diff,min_diff_label,y_lable_frequent
(1401-01),173.0,114.90411563490854,-66.75906155319687,300.3253464900852,آچار فرانسه,خدمات و تعمیرات ساختمان,58.09588436509146,239.7590615531969,127.32534649008522,yhat_diff,yhat_diff
(1401-02),123.0,149.19234576366927,-26.01750810343196,327.1160727228891,آچار فرانسه,خدمات و تعمیرات ساختمان,26.192345763669262,149.01750810343196,204.1160727228891,yhat_diff,yhat_diff
(1401-03),193.0,188.70765653616752,1.7274741217985758,370.8495859903151,آچار فرانسه,خدمات و تعمیرات ساختمان,4.292343463832481,191.27252587820144,177.84958599031512,yhat_diff,yhat_diff
(1401-04),229.0,221.9969166151912,39.90523995739386,401.6001080786907,آچار فرانسه,خدمات و تعمیرات ساختمان,7.003083384808804,189.0947600426061,172.6001080786907,yhat_diff,yhat_diff
(1401-05),278.0,275.7909678704748,96.20917218665396,456.4456901433177,آچار فرانسه,خدمات و تعمیرات ساختمان,2.2090321295252124,181.79082781334603,178.44569014331768,yhat_diff,yhat_diff
(1401-06),240.0,216.43474956970348,40.1602080635263,392.4281224415615,آچار فرانسه,خدمات و تعمیرات ساختمان,23.56525043029652,199.8397919364737,152.42812244156153,yhat_diff,yhat_diff
(1401-07),163.0,166.24119837757596,-9.9915014067055,344.0634450216266,آچار فرانسه,خدمات و تعمیرات ساختمان,3.241198377575955,172.9915014067055,181.0634450216266,yhat_diff,yhat_diff
(1401-08),159.0,163.60264968275388,-8.778647041138786,333.77640709794497,آچار فرانسه,خدمات و تعمیرات ساختمان,4.602649682753878,167.77864704113878,174.77640709794497,yhat_diff,yhat_diff
(1401-09),146.0,161.16158896038294,-16.618376533046682,338.6504958803817,آچار فرانسه,خدمات و تعمیرات ساختمان,15.161588960382945,162.61837653304667,192.6504958803817,yhat_diff,yhat_diff
(1401-10),135.0,156.17494858826296,-13.166524477521971,326.6475583811969,آچار فرانسه,خدمات و تعمیرات ساختمان,21.174948588262964,148.16652447752196,191.6475583811969,yhat_diff,yhat_diff
(1401-11),171.0,169.67593866940834,-9.15491755989505,349.5524216337994,آچار فرانسه,خدمات و تعمیرات ساختمان,1.324061330591661,180.15491755989504,178.55242163379938,yhat_diff,yhat_diff
(1401-12),228.0,300.73538689642413,134.75705435928646,465.629859466294,آچار فرانسه,خدمات و تعمیرات ساختمان,72.73538689642413,93.24294564071354,237.629859466294,yhat_diff,yhat_diff
(1402-01),201.0,164.00634496538035,-16.99435667220713,342.6725248695256,آچار فرانسه,خدمات و تعمیرات ساختمان,36.99365503461965,217.99435667220712,141.6725248695256,yhat_diff,yhat_diff
