shamsi_year_month,y,yhat,yhat_lower,yhat_upper,service,category,yhat_diff,yhat_low_diff,yhat_high_diff,min_diff_label
(1401-01),173.0,162.38507238452237,9.160520308330176,314.8767515420166,آچار فرانسه,خدمات و تعمیرات ساختمان,10.614927615477626,163.83947969166982,141.87675154201662,yhat_diff
(1401-02),123.0,129.98865528680267,-17.37880065397332,277.56192188059623,آچار فرانسه,خدمات و تعمیرات ساختمان,6.988655286802668,140.37880065397331,154.56192188059623,yhat_diff
(1401-03),193.0,198.21006785396872,45.520217267312695,350.7218710391104,آچار فرانسه,خدمات و تعمیرات ساختمان,5.210067853968724,147.4797827326873,157.7218710391104,yhat_diff
(1401-04),229.0,246.10157622485383,94.8268771344998,397.174236924649,آچار فرانسه,خدمات و تعمیرات ساختمان,17.10157622485383,134.1731228655002,168.174236924649,yhat_diff
(1401-05),278.0,241.33862627298544,87.4787679908966,392.1558136010592,آچار فرانسه,خدمات و تعمیرات ساختمان,36.66137372701456,190.52123200910341,114.15581360105921,yhat_diff
(1401-06),240.0,197.1334759770264,49.59080802747403,345.892320828476,آچار فرانسه,خدمات و تعمیرات ساختمان,42.86652402297361,190.40919197252597,105.89232082847599,yhat_diff
(1401-07),163.0,163.03243584603285,15.228651455654054,310.34748157033715,آچار فرانسه,خدمات و تعمیرات ساختمان,0.03243584603285399,147.77134854434595,147.34748157033715,yhat_diff
(1401-08),159.0,156.84734116704172,14.777264271512928,300.07298594963083,آچار فرانسه,خدمات و تعمیرات ساختمان,2.1526588329582808,144.22273572848707,141.07298594963083,yhat_diff
(1401-09),146.0,155.31425189972677,9.691782987557763,303.379735790031,آچار فرانسه,خدمات و تعمیرات ساختمان,9.31425189972677,136.30821701244224,157.37973579003102,yhat_diff
(1401-10),135.0,151.10562267107505,10.135662119202088,293.1773873847804,آچار فرانسه,خدمات و تعمیرات ساختمان,16.105622671075054,124.8643378807979,158.1773873847804,yhat_diff
(1401-11),171.0,166.7931674806634,18.38225629761111,316.75788624945443,آچار فرانسه,خدمات و تعمیرات ساختمان,4.2068325193365865,152.61774370238888,145.75788624945443,yhat_diff
(1401-12),228.0,303.2673959958083,166.36381367264315,442.5243210511206,آچار فرانسه,خدمات و تعمیرات ساختمان,75.26739599580827,61.63618632735685,214.52432105112058,yhat_low_diff
(1402-01),201.0,200.54677541904024,49.06823477670033,353.3994634670745,آچار فرانسه,خدمات و تعمیرات ساختمان,0.4532245809597555,151.93176522329966,152.3994634670745,yhat_diff
(1402-02),199.0,176.7710481060194,25.01094451813756,330.5634499917366,آچار فرانسه,خدمات و تعمیرات ساختمان,22.228951893980593,173.98905548186244,131.5634499917366,yhat_diff
(1402-03),251.0,251.2046014514716,98.63009850980464,404.1052105283964,آچار فرانسه,خدمات و تعمیرات ساختمان,0.20460145147160347,152.36990149019536,153.1052105283964,yhat_diff
(1402-04),282.0,311.01615028809744,160.12625048861312,463.6831098487513,آچار فرانسه,خدمات و تعمیرات ساختمان,29.016150288097435,121.87374951138688,181.68310984875131,yhat_diff
(1402-05),310.0,314.9864880218051,161.2891087086418,467.0579472568982,آچار فرانسه,خدمات و تعمیرات ساختمان,4.986488021805087,148.7108912913582,157.05794725689822,yhat_diff
(1402-06),286.0,289.5190319567117,136.93025790336358,440.66959265761847,آچار فرانسه,خدمات و تعمیرات ساختمان,3.5190319567116717,149.06974209663642,154.66959265761847,yhat_diff
(1402-07),277.0,254.4147101317276,107.35752829742664,402.2847782118261,آچار فرانسه,خدمات و تعمیرات ساختمان,22.58528986827241,169.64247170257335,125.28477821182611,yhat_diff
(1402-08),263.0,264.73861552605285,118.75917408910644,414.6527464269071,آچار فرانسه,خدمات و تعمیرات ساختمان,1.738615526052854,144.24082591089356,151.65274642690707,yhat_diff
(1402-09),261.0,268.54526499116,120.57808284174575,417.0611274191786,آچار فرانسه,خدمات و تعمیرات ساختمان,7.545264991160025,140.42191715825425,156.0611274191786,yhat_diff
(1402-10),301.0,277.9109156258488,129.5082812288844,425.235210486219,آچار فرانسه,خدمات و تعمیرات ساختمان,23.089084374151184,171.4917187711156,124.23521048621899,yhat_diff
(1402-11),305.0,297.4855399174035,149.56898908221268,443.6686840496752,آچار فرانسه,خدمات و تعمیرات ساختمان,7.514460082596486,155.43101091778732,138.66868404967522,yhat_diff
(1402-12),546.0,445.7018384890862,303.03432605279846,589.9524554695151,آچار فرانسه,خدمات و تعمیرات ساختمان,100.29816151091381,242.96567394720154,43.952455469515144,yhat_high_diff
(1403-01),288.0,352.0903936233505,199.15634035282653,504.4264761284178,آچار فرانسه,خدمات و تعمیرات ساختمان,64.09039362335051,88.84365964717347,216.4264761284178,yhat_diff
(1403-02),318.0,328.1153423655218,175.63446154783304,481.1911173329927,آچار فرانسه,خدمات و تعمیرات ساختمان,10.115342365521826,142.36553845216696,163.1911173329927,yhat_diff
(1403-03),400.0,405.62335917763073,253.4329005405979,557.1535897273208,آچار فرانسه,خدمات و تعمیرات ساختمان,5.623359177630732,146.5670994594021,157.15358972732076,yhat_diff
(1403-04),506.0,463.8892567022524,308.7805369990119,616.4005975265844,آچار فرانسه,خدمات و تعمیرات ساختمان,42.110743297747604,197.21946300098813,110.40059752658442,yhat_diff
(1403-05),437.0,469.0654665724182,316.2899161235113,619.9027582965481,آچار فرانسه,خدمات و تعمیرات ساختمان,32.06546657241819,120.71008387648868,182.9027582965481,yhat_diff
(1403-06),402.0,445.42544460978905,294.81735672486656,597.986532892205,آچار فرانسه,خدمات و تعمیرات ساختمان,43.425444609789054,107.18264327513344,195.986532892205,yhat_diff
(1403-07),389.0,402.48190664521286,253.9668135819968,549.685355832563,آچار فرانسه,خدمات و تعمیرات ساختمان,13.48190664521286,135.0331864180032,160.685355832563,yhat_diff
(1403-08),411.0,413.8449221368588,265.9540648812022,561.7893309841925,آچار فرانسه,خدمات و تعمیرات ساختمان,2.844922136858827,145.0459351187978,150.78933098419247,yhat_diff
(1403-09),431.0,419.12667380067273,271.5407401853958,567.1231764589642,آچار فرانسه,خدمات و تعمیرات ساختمان,11.873326199327266,159.4592598146042,136.12317645896417,yhat_diff
(1403-10),409.0,425.56873238067993,276.30068250021696,573.3910082319977,آچار فرانسه,خدمات و تعمیرات ساختمان,16.568732380679933,132.69931749978304,164.39100823199772,yhat_diff
