shamsi_year_month,y,yhat,yhat_lower,yhat_upper,service,yhat_diff,yhat_low_diff,yhat_high_diff,min_diff_label
(1401-01),173.0,162.38507238452237,8.474670374471774,314.63206267187434,آچار فرانسه,10.614927615477626,164.52532962552823,141.63206267187434,yhat_diff
(1401-02),123.0,129.98865528680267,-16.25403377289607,276.86361970221174,آچار فرانسه,6.988655286802668,139.25403377289607,153.86361970221174,yhat_diff
(1401-03),193.0,198.21006785396872,45.62578720759143,351.18955561922473,آچار فرانسه,5.210067853968724,147.37421279240857,158.18955561922473,yhat_diff
(1401-04),229.0,246.10157622485383,93.74155119652644,397.4135745615144,آچار فرانسه,17.10157622485383,135.25844880347356,168.4135745615144,yhat_diff
(1401-05),278.0,241.33862627298544,88.24694334561805,394.2082501748531,آچار فرانسه,36.66137372701456,189.75305665438196,116.2082501748531,yhat_diff
(1401-06),240.0,197.1334759770264,51.06866917768807,343.9678230662818,آچار فرانسه,42.86652402297361,188.93133082231193,103.96782306628182,yhat_diff
(1401-07),163.0,163.03243584603285,17.391162324217394,310.1888580783876,آچار فرانسه,0.03243584603285399,145.6088376757826,147.18885807838763,yhat_diff
(1401-08),159.0,156.84734116704172,13.819027331774898,298.7298176090409,آچار فرانسه,2.1526588329582808,145.1809726682251,139.72981760904088,yhat_diff
(1401-09),146.0,155.31425189972677,7.184744642004209,302.6870765964525,آچار فرانسه,9.31425189972677,138.8152553579958,156.68707659645253,yhat_diff
(1401-10),135.0,151.10562267107505,9.167381924889508,292.22103344344134,آچار فرانسه,16.105622671075054,125.83261807511049,157.22103344344134,yhat_diff
(1401-11),171.0,166.7931674806634,19.34235485121757,314.2162305872025,آچار فرانسه,4.2068325193365865,151.65764514878242,143.21623058720252,yhat_diff
(1401-12),228.0,303.2673959958083,166.83852232176577,442.15154428373336,آچار فرانسه,75.26739599580827,61.161477678234235,214.15154428373336,yhat_low_diff
(1402-01),201.0,200.54677541904024,47.327017739726,353.8333767171854,آچار فرانسه,0.4532245809597555,153.672982260274,152.8333767171854,yhat_diff
(1402-02),199.0,176.7710481060194,23.830731475744752,328.6994852698975,آچار فرانسه,22.228951893980593,175.16926852425524,129.69948526989748,yhat_diff
(1402-03),251.0,251.2046014514716,100.22113080636971,402.8480212580076,آچار فرانسه,0.20460145147160347,150.77886919363027,151.84802125800758,yhat_diff
(1402-04),282.0,311.01615028809744,156.62724140877953,461.2135719959528,آچار فرانسه,29.016150288097435,125.37275859122047,179.2135719959528,yhat_diff
(1402-05),310.0,314.9864880218051,163.80455701296984,468.3230857246946,آچار فرانسه,4.986488021805087,146.19544298703016,158.32308572469458,yhat_diff
(1402-06),286.0,289.5190319567117,137.34705517708247,442.0734432381349,آچار فرانسه,3.5190319567116717,148.65294482291753,156.07344323813493,yhat_diff
(1402-07),277.0,254.4147101317276,108.11802325100432,402.0098228793288,آچار فرانسه,22.58528986827241,168.88197674899567,125.0098228793288,yhat_diff
