shamsi_year_month,y,yhat,yhat_lower,yhat_upper,service,category,yhat_diff,yhat_low_diff,yhat_high_diff,min_diff_label,y_lable_frequent
(1403-08),411.0,401.6817595267606,256.87140942457444,545.182051081239,آچار فرانسه,خدمات و تعمیرات ساختمان,9.318240473239428,154.12859057542556,134.18205108123902,yhat_diff,yhat_high_diff
(1403-09),431.0,408.0750182911418,263.9325966376617,550.9103006353475,آچار فرانسه,خدمات و تعمیرات ساختمان,22.924981708858184,167.06740336233833,119.91030063534754,yhat_diff,yhat_high_diff
(1403-10),409.0,413.98584062166856,269.0066512386468,556.9187807856115,آچار فرانسه,خدمات و تعمیرات ساختمان,4.985840621668558,139.99334876135322,147.9187807856115,yhat_diff,yhat_high_diff
(1403-11),445.0,431.3357719796649,288.09379197068307,577.8976116324661,آچار فرانسه,خدمات و تعمیرات ساختمان,13.664228020335088,156.90620802931693,132.89761163246612,yhat_diff,yhat_high_diff
(1403-12),651.0,656.2227704297846,510.8885577653692,803.2306235938936,آچار فرانسه,خدمات و تعمیرات ساختمان,5.222770429784646,140.11144223463077,152.2306235938936,yhat_diff,yhat_high_diff
(1404-01),357.0,455.1045576956143,305.72342947466086,604.3234799295662,آچار فرانسه,خدمات و تعمیرات ساختمان,98.10455769561428,51.27657052533914,247.32347992956625,yhat_low_diff,yhat_high_diff
(1404-02),600.0,417.59727237076646,268.84136172380573,566.4252788261898,آچار فرانسه,خدمات و تعمیرات ساختمان,182.40272762923357,331.15863827619427,33.57472117381019,yhat_high_diff,yhat_high_diff
(1404-03),604.0,547.910553414834,398.6288520336945,696.6586595417475,آچار فرانسه,خدمات و تعمیرات ساختمان,56.089446585166,205.3711479663055,92.65865954174753,yhat_diff,yhat_high_diff
(1404-04),615.0,642.4810701491457,492.9723720096098,791.9549965986306,آچار فرانسه,خدمات و تعمیرات ساختمان,27.48107014914569,122.02762799039022,176.9549965986306,yhat_diff,yhat_high_diff
(1404-05),898.0,619.2868107952693,468.8978088273906,768.3100276482552,آچار فرانسه,خدمات و تعمیرات ساختمان,278.7131892047307,429.1021911726094,129.6899723517448,yhat_high_diff,yhat_high_diff
(1404-06),801.0,554.9341928601431,402.7227464703456,704.3916754001558,آچار فرانسه,خدمات و تعمیرات ساختمان,246.06580713985693,398.2772535296544,96.6083245998442,yhat_high_diff,yhat_high_diff
(1404-07),699.0,501.7899828686354,355.56898257483925,647.7005333162715,آچار فرانسه,خدمات و تعمیرات ساختمان,197.21001713136465,343.43101742516075,51.2994666837285,yhat_high_diff,yhat_high_diff
(1404-08),764.0,521.8847821984298,372.2559901964278,668.3639020432939,آچار فرانسه,خدمات و تعمیرات ساختمان,242.11521780157025,391.7440098035722,95.63609795670608,yhat_high_diff,yhat_high_diff
(1404-09),0.0,519.4290111238396,370.2194159390659,666.1750594286242,آچار فرانسه,خدمات و تعمیرات ساختمان,519.4290111238396,370.2194159390659,666.1750594286242,yhat_low_diff,yhat_high_diff
(1404-10),0.0,528.7015435780136,379.7332410854088,675.8403436640202,آچار فرانسه,خدمات و تعمیرات ساختمان,528.7015435780136,379.7332410854088,675.8403436640202,yhat_low_diff,yhat_high_diff
(1404-11),0.0,549.1731431511647,397.35852858667073,698.6534889171413,آچار فرانسه,خدمات و تعمیرات ساختمان,549.1731431511647,397.35852858667073,698.6534889171413,yhat_low_diff,yhat_high_diff
(1404-12),0.0,808.9019983920268,652.3796871229405,958.7355361229954,آچار فرانسه,خدمات و تعمیرات ساختمان,808.9019983920268,652.3796871229405,958.7355361229954,yhat_low_diff,yhat_high_diff
(1401-01),739.0,605.3800649445635,-141.2008457402039,1361.4294965000563,اسباب کشی با خاور و کامیون,باربری و جابجایی,133.61993505543649,880.2008457402039,622.4294965000563,yhat_diff,yhat_diff
(1401-02),1347.0,1450.094204229588,696.814017717287,2198.182620491669,اسباب کشی با خاور و کامیون,باربری و جابجایی,103.09420422958806,650.185982282713,851.1826204916688,yhat_diff,yhat_diff
(1401-03),2237.0,2210.546682889076,1456.0827223626973,2965.4197452755498,اسباب کشی با خاور و کامیون,باربری و جابجایی,26.453317110924218,780.9172776373027,728.4197452755498,yhat_diff,yhat_diff
(1401-04),3103.0,2844.0468842117607,2092.2749032342203,3599.9763443951065,اسباب کشی با خاور و کامیون,باربری و جابجایی,258.9531157882393,1010.7250967657797,496.9763443951065,yhat_diff,yhat_diff
(1401-05),1779.0,2106.700130808188,1365.5833130303438,2858.6342610079614,اسباب کشی با خاور و کامیون,باربری و جابجایی,327.7001308081881,413.4166869696562,1079.6342610079614,yhat_diff,yhat_diff
(1401-06),1831.0,1958.4981685792773,1210.643733125062,2711.070846264066,اسباب کشی با خاور و کامیون,باربری و جابجایی,127.49816857927726,620.356266874938,880.070846264066,yhat_diff,yhat_diff
(1401-07),1293.0,1382.0463833147635,654.8244003392515,2104.7319159943727,اسباب کشی با خاور و کامیون,باربری و جابجایی,89.04638331476349,638.1755996607485,811.7319159943727,yhat_diff,yhat_diff
(1401-08),1200.0,1138.5493136187183,408.0448183564792,1860.6542745621248,اسباب کشی با خاور و کامیون,باربری و جابجایی,61.450686381281685,791.9551816435207,660.6542745621248,yhat_diff,yhat_diff
(1401-09),1182.0,977.599845347583,250.46194260071152,1698.593872559379,اسباب کشی با خاور و کامیون,باربری و جابجایی,204.40015465241697,931.5380573992884,516.593872559379,yhat_diff,yhat_diff
(1401-10),1416.0,1161.5868793669604,443.0967848540674,1879.7625236156653,اسباب کشی با خاور و کامیون,باربری و جابجایی,254.41312063303965,972.9032151459326,463.76252361566526,yhat_diff,yhat_diff
(1401-11),947.0,1019.227223453218,299.7112866764687,1739.9650558857463,اسباب کشی با خاور و کامیون,باربری و جابجایی,72.22722345321802,647.2887133235313,792.9650558857463,yhat_diff,yhat_diff
(1401-12),758.0,894.1908961986455,193.3376894362912,1604.8959707464885,اسباب کشی با خاور و کامیون,باربری و جابجایی,136.19089619864553,564.6623105637088,846.8959707464885,yhat_diff,yhat_diff
(1402-01),395.0,527.4846318346789,-221.90293750040303,1281.7272445370293,اسباب کشی با خاور و کامیون,باربری و جابجایی,132.4846318346789,616.902937500403,886.7272445370293,yhat_diff,yhat_diff
(1402-02),1066.0,1066.4874013318993,320.407087206289,1822.9807748414387,اسباب کشی با خاور و کامیون,باربری و جابجایی,0.4874013318992638,745.592912793711,756.9807748414387,yhat_diff,yhat_diff
(1402-03),1450.0,1617.1078300087038,865.7182498480497,2365.9531458440256,اسباب کشی با خاور و کامیون,باربری و جابجایی,167.1078300087038,584.2817501519503,915.9531458440256,yhat_diff,yhat_diff
(1402-04),2308.0,2121.3511029174856,1361.3520746941529,2868.178497611584,اسباب کشی با خاور و کامیون,باربری و جابجایی,186.6488970825144,946.6479253058473,560.1784976115841,yhat_diff,yhat_diff
(1402-05),1890.0,1812.3050556768708,1064.4596311166893,2559.707827332941,اسباب کشی با خاور و کامیون,باربری و جابجایی,77.69494432312922,825.5403688833107,669.7078273329412,yhat_diff,yhat_diff
(1402-06),1963.0,1880.5463461059533,1134.5729591543954,2631.409176465424,اسباب کشی با خاور و کامیون,باربری و جابجایی,82.45365389404674,828.4270408456046,668.409176465424,yhat_diff,yhat_diff
(1402-07),1281.0,1259.8641451671365,542.0363405833355,1981.248424499596,اسباب کشی با خاور و کامیون,باربری و جابجایی,21.135854832863515,738.9636594166645,700.248424499596,yhat_diff,yhat_diff
(1402-08),1199.0,1092.50089873087,367.4827623748304,1813.424329449211,اسباب کشی با خاور و کامیون,باربری و جابجایی,106.49910126913004,831.5172376251696,614.424329449211,yhat_diff,yhat_diff
(1402-09),976.0,971.4855484081612,249.60085952795723,1698.1446794199976,اسباب کشی با خاور و کامیون,باربری و جابجایی,4.514451591838792,726.3991404720427,722.1446794199976,yhat_diff,yhat_diff
(1402-10),968.0,1105.1543322116772,378.670597277951,1833.1549095569333,اسباب کشی با خاور و کامیون,باربری و جابجایی,137.15433221167723,589.329402722049,865.1549095569333,yhat_diff,yhat_diff
(1402-11),1152.0,1112.1749052604616,377.4475010714543,1827.3034055141288,اسباب کشی با خاور و کامیون,باربری و جابجایی,39.82509473953837,774.5524989285457,675.3034055141288,yhat_diff,yhat_diff
(1402-12),1206.0,1160.1534985143069,466.7525960425865,1872.203377201935,اسباب کشی با خاور و کامیون,باربری و جابجایی,45.846501485693125,739.2474039574136,666.2033772019349,yhat_diff,yhat_diff
(1403-01),595.0,776.7117845665828,32.90291438721055,1527.245385838664,اسباب کشی با خاور و کامیون,باربری و جابجایی,181.7117845665828,562.0970856127894,932.245385838664,yhat_diff,yhat_diff
(1403-02),1492.0,1389.1951484195936,634.1197155228483,2132.462271544877,اسباب کشی با خاور و کامیون,باربری و جابجایی,102.80485158040642,857.8802844771517,640.4622715448768,yhat_diff,yhat_diff
(1403-03),2165.0,2149.768572659545,1406.2296572267103,2908.3584432980247,اسباب کشی با خاور و کامیون,باربری و جابجایی,15.231427340454957,758.7703427732897,743.3584432980247,yhat_diff,yhat_diff
(1403-04),2419.0,2646.911889777635,1898.4090033339407,3394.824137200459,اسباب کشی با خاور و کامیون,باربری و جابجایی,227.9118897776352,520.5909966660593,975.8241372004592,yhat_diff,yhat_diff
(1403-05),2498.0,2303.942554747741,1561.639527813188,3046.226014034361,اسباب کشی با خاور و کامیون,باربری و جابجایی,194.0574452522592,936.360472186812,548.226014034361,yhat_diff,yhat_diff
(1403-06),2619.0,2445.3109213679804,1699.0992243315852,3190.8137051905555,اسباب کشی با خاور و کامیون,باربری و جابجایی,173.68907863201957,919.9007756684148,571.8137051905555,yhat_diff,yhat_diff
(1403-07),1757.0,1804.9762536799933,1074.7263129371331,2531.3231557884146,اسباب کشی با خاور و کامیون,باربری و جابجایی,47.976253679993306,682.2736870628669,774.3231557884146,yhat_diff,yhat_diff
(1403-08),1613.0,1721.2669116411234,1006.6011933431818,2451.57251625958,اسباب کشی با خاور و کامیون,باربری و جابجایی,108.26691164112344,606.3988066568182,838.57251625958,yhat_diff,yhat_diff
(1403-09),1650.0,1750.0754051533352,1028.3954129122624,2464.910427544997,اسباب کشی با خاور و کامیون,باربری و جابجایی,100.07540515333515,621.6045870877376,814.9104275449972,yhat_diff,yhat_diff
(1403-10),2050.0,2059.4115410453383,1329.7684289742308,2791.427058482581,اسباب کشی با خاور و کامیون,باربری و جابجایی,9.411541045338254,720.2315710257692,741.4270584825808,yhat_diff,yhat_diff
(1403-11),2242.0,2203.6251295783422,1477.560084056776,2922.670365748389,اسباب کشی با خاور و کامیون,باربری و جابجایی,38.37487042165776,764.4399159432239,680.670365748389,yhat_diff,yhat_diff
(1403-12),2369.0,2267.033090443771,1543.352547165808,2985.375820424544,اسباب کشی با خاور و کامیون,باربری و جابجایی,101.96690955622898,825.6474528341921,616.3758204245441,yhat_diff,yhat_diff
(1404-01),969.0,1257.2397076428815,499.6849771582335,2004.0152481951425,اسباب کشی با خاور و کامیون,باربری و جابجایی,288.2397076428815,469.3150228417665,1035.0152481951425,yhat_diff,yhat_diff
(1404-02),2184.0,2225.8621534065287,1474.7601222303642,2985.0323236281106,اسباب کشی با خاور و کامیون,باربری و جابجایی,41.86215340652871,709.2398777696358,801.0323236281106,yhat_diff,yhat_diff
(1404-03),3119.0,3224.0204202187224,2426.712251824468,4009.9717205598863,اسباب کشی با خاور و کامیون,باربری و جابجایی,105.0204202187224,692.2877481755322,890.9717205598863,yhat_diff,yhat_diff
(1404-04),3147.0,3543.333129728398,2672.4707020968485,4398.425208008859,اسباب کشی با خاور و کامیون,باربری و جابجایی,396.333129728398,474.5292979031515,1251.425208008859,yhat_diff,yhat_diff
(1404-05),3173.0,3111.2270040120457,2163.551923853852,4024.197139837442,اسباب کشی با خاور و کامیون,باربری و جابجایی,61.772995987954346,1009.4480761461482,851.1971398374421,yhat_diff,yhat_diff
(1404-06),3424.0,2950.905635392044,1919.5880796134952,3954.33008243354,اسباب کشی با خاور و کامیون,باربری و جابجایی,473.0943646079559,1504.4119203865048,530.3300824335402,yhat_diff,yhat_diff
(1404-07),2552.0,2288.8537222640684,1272.414750597339,3261.373210849972,اسباب کشی با خاور و کامیون,باربری و جابجایی,263.1462777359316,1279.585249402661,709.3732108499721,yhat_diff,yhat_diff
(1404-08),2649.0,2303.9331500131443,1173.402787114781,3383.808779620368,اسباب کشی با خاور و کامیون,باربری و جابجایی,345.0668499868557,1475.597212885219,734.8087796203681,yhat_diff,yhat_diff
(1404-09),0.0,2032.85667346728,857.8653802598584,3153.9218679163023,اسباب کشی با خاور و کامیون,باربری و جابجایی,2032.85667346728,857.8653802598584,3153.9218679163023,yhat_low_diff,yhat_diff
(1404-10),0.0,2606.706150504845,1090.4528158090484,4044.796209009028,اسباب کشی با خاور و کامیون,باربری و جابجایی,2606.706150504845,1090.4528158090484,4044.796209009028,yhat_low_diff,yhat_diff
(1404-11),0.0,2807.0819418209176,1042.7821857960407,4463.6133391844005,اسباب کشی با خاور و کامیون,باربری و جابجایی,2807.0819418209176,1042.7821857960407,4463.6133391844005,yhat_low_diff,yhat_diff
(1404-12),0.0,2759.442434319722,845.8093471871703,4545.761003787763,اسباب کشی با خاور و کامیون,باربری و جابجایی,2759.442434319722,845.8093471871703,4545.761003787763,yhat_low_diff,yhat_diff
(1401-01),219.0,186.3180207403667,-6.438941233316687,379.4871174291651,اصلاح صورت و ابرو بانوان,زیبایی بانوان,32.681979259633295,225.43894123331668,160.4871174291651,yhat_diff,yhat_low_diff
(1401-02),255.0,239.1644117582929,46.20258148975336,434.5145452244121,اصلاح صورت و ابرو بانوان,زیبایی بانوان,15.835588241707086,208.79741851024664,179.51454522441207,yhat_diff,yhat_low_diff
(1401-03),281.0,262.9614010394162,69.38588132093778,455.9676816938847,اصلاح صورت و ابرو بانوان,زیبایی بانوان,18.038598960583784,211.61411867906224,174.96768169388469,yhat_diff,yhat_low_diff
(1401-04),273.0,297.68589563709565,105.11280759834608,491.7439792962177,اصلاح صورت و ابرو بانوان,زیبایی بانوان,24.68589563709565,167.88719240165392,218.74397929621767,yhat_diff,yhat_low_diff
(1401-05),279.0,255.18813086401096,61.03222747105483,448.9372106729724,اصلاح صورت و ابرو بانوان,زیبایی بانوان,23.81186913598904,217.9677725289452,169.9372106729724,yhat_diff,yhat_low_diff
(1401-06),208.0,223.88550694236403,30.487294211831585,418.1019255727793,اصلاح صورت و ابرو بانوان,زیبایی بانوان,15.885506942364032,177.5127057881684,210.1019255727793,yhat_diff,yhat_low_diff
(1401-07),228.0,226.95031677712743,39.99765912464208,413.6134341016835,اصلاح صورت و ابرو بانوان,زیبایی بانوان,1.0496832228725737,188.00234087535796,185.61343410168348,yhat_diff,yhat_low_diff
(1401-08),213.0,202.4409131487922,16.167039638916915,390.78826287571394,اصلاح صورت و ابرو بانوان,زیبایی بانوان,10.559086851207809,196.83296036108308,177.78826287571394,yhat_diff,yhat_low_diff
(1401-09),165.0,195.1214563429297,5.757167884954107,384.01254054182056,اصلاح صورت و ابرو بانوان,زیبایی بانوان,30.12145634292972,159.2428321150459,219.01254054182056,yhat_diff,yhat_low_diff
(1401-10),215.0,196.24493793588107,8.066553113246595,383.2522463160517,اصلاح صورت و ابرو بانوان,زیبایی بانوان,18.75506206411893,206.93344688675344,168.2522463160517,yhat_diff,yhat_low_diff
(1401-11),218.0,213.3561392557442,26.34778539006312,403.5644395221957,اصلاح صورت و ابرو بانوان,زیبایی بانوان,4.6438607442557895,191.6522146099369,185.5644395221957,yhat_diff,yhat_low_diff
(1401-12),485.0,358.83161573135897,177.88978162023108,541.7355644304033,اصلاح صورت و ابرو بانوان,زیبایی بانوان,126.16838426864103,307.1102183797689,56.73556443040332,yhat_high_diff,yhat_low_diff
(1402-01),179.0,287.98723105388814,107.33426424933027,470.79337901513816,اصلاح صورت و ابرو بانوان,زیبایی بانوان,108.98723105388814,71.66573575066973,291.79337901513816,yhat_low_diff,yhat_low_diff
(1402-02),253.0,275.0528444941631,82.84480292655377,468.4320496174889,اصلاح صورت و ابرو بانوان,زیبایی بانوان,22.05284449416308,170.15519707344623,215.43204961748887,yhat_diff,yhat_low_diff
