ds,category,Year,Month,y
2022-03-24,کارواش و دیتیلینگ,1401,1,14
2022-03-24,کودک,1401,1,0
2022-03-25,باربری و جابجایی,1401,1,12
2022-03-25,باغبانی و فضای سبز,1401,1,3
2022-03-25,برقکاری,1401,1,24
2022-03-25,تامین نیروی انسانی,1401,1,0
2022-03-25,تعمیرات موبایل,1401,1,4
2022-03-25,حیوانات خانگی,1401,1,0
2022-03-25,خدمات بیمه‌,1401,1,0
2022-03-25,خدمات شیشه ای ساختمان,1401,1,6
2022-03-25,خدمات فوری آچاره,1401,1,9
2022-03-25,خدمات و تعمیرات خودرو,1401,1,14
2022-03-25,خدمات و تعمیرات ساختمان,1401,1,22
2022-03-25,خدمات کامپیوتری,1401,1,4
2022-03-25,خیاطی و تعمیرات لباس,1401,1,0
2022-03-25,زیبایی بانوان,1401,1,29
2022-03-25,سرمایش و گرمایش,1401,1,49
2022-03-25,شستشو,1401,1,13
2022-03-25,طراحی و بازسازی ساختمان,1401,1,1
2022-03-25,لوله کشی,1401,1,46
2022-03-25,مجالس و رویدادها,1401,1,0
2022-03-25,نصب و تعمیر لوازم خانگی,1401,1,40
2022-03-25,نظافت و پذیرایی,1401,1,78
2022-03-25,پزشکی و پرستاری,1401,1,12
2022-03-25,پیرایش و زیبایی آقایان,1401,1,4
2022-03-25,چوب و کابینت,1401,1,3
2022-03-25,کارواش و دیتیلینگ,1401,1,16
2022-03-25,کودک,1401,1,0
2022-03-26,آموزش,1401,1,1
2022-03-26,باربری و جابجایی,1401,1,7
2022-03-26,باغبانی و فضای سبز,1401,1,2
2022-03-26,برقکاری,1401,1,36
2022-03-26,تامین نیروی انسانی,1401,1,0
2022-03-26,تعمیرات موبایل,1401,1,3
2022-03-26,تندرستی و ورزش,1401,1,0
2022-03-26,حیوانات خانگی,1401,1,0
2022-03-26,خدمات بیمه‌,1401,1,0
2022-03-26,خدمات شرکتی,1401,1,0
2022-03-26,خدمات شیشه ای ساختمان,1401,1,4
2022-03-26,خدمات فوری آچاره,1401,1,12
2022-03-26,خدمات و تعمیرات خودرو,1401,1,14
2022-03-26,خدمات و تعمیرات ساختمان,1401,1,26
2022-03-26,خدمات کامپیوتری,1401,1,11
2022-03-26,خیاطی و تعمیرات لباس,1401,1,0
2022-03-26,زیبایی بانوان,1401,1,15
2022-03-26,سرمایش و گرمایش,1401,1,65
2022-03-26,شستشو,1401,1,14
2022-03-26,طراحی و بازسازی ساختمان,1401,1,3
2022-03-26,لوله کشی,1401,1,62
2022-03-26,مجالس و رویدادها,1401,1,0
2022-03-26,نصب و تعمیر لوازم خانگی,1401,1,59
2022-03-26,نظافت و پذیرایی,1401,1,138
2022-03-26,همه فن حریف,1401,1,1
2022-03-26,پزشکی و پرستاری,1401,1,5
2022-03-26,پیرایش و زیبایی آقایان,1401,1,1
2022-03-26,چوب و کابینت,1401,1,16
2022-03-26,کارواش و دیتیلینگ,1401,1,21
2022-03-26,کودک,1401,1,0
2022-03-27,آموزش,1401,1,0
2022-03-27,باربری و جابجایی,1401,1,13
2022-03-27,باغبانی و فضای سبز,1401,1,1
2022-03-27,برقکاری,1401,1,34
2022-03-27,تامین نیروی انسانی,1401,1,0
2022-03-27,تعمیرات موبایل,1401,1,2
2022-03-27,تندرستی و ورزش,1401,1,0
2022-03-27,حیوانات خانگی,1401,1,2
2022-03-27,خدمات بیمه‌,1401,1,0
2022-03-27,خدمات شیشه ای ساختمان,1401,1,4
2022-03-27,خدمات فوری آچاره,1401,1,13
2022-03-27,خدمات و تعمیرات خودرو,1401,1,19
2022-03-27,خدمات و تعمیرات ساختمان,1401,1,36
2022-03-27,خدمات کامپیوتری,1401,1,7
2022-03-27,خیاطی و تعمیرات لباس,1401,1,1
2022-03-27,زیبایی بانوان,1401,1,36
2022-03-27,سرمایش و گرمایش,1401,1,52
2022-03-27,شستشو,1401,1,30
2022-03-27,طراحی و بازسازی ساختمان,1401,1,0
2022-03-27,لوله کشی,1401,1,50
2022-03-27,مجالس و رویدادها,1401,1,1
2022-03-27,مشاوره,1401,1,0
2022-03-27,نصب و تعمیر لوازم خانگی,1401,1,81
2022-03-27,نظافت و پذیرایی,1401,1,137
2022-03-27,همه فن حریف,1401,1,1
2022-03-27,پزشکی و پرستاری,1401,1,8
2022-03-27,پیرایش و زیبایی آقایان,1401,1,2
2022-03-27,چوب و کابینت,1401,1,12
2022-03-27,کارواش و دیتیلینگ,1401,1,11
2022-03-27,کودک,1401,1,0
2022-03-28,آموزش,1401,1,0
2022-03-28,باربری و جابجایی,1401,1,17
2022-03-28,باغبانی و فضای سبز,1401,1,0
2022-03-28,برقکاری,1401,1,49
2022-03-28,تامین نیروی انسانی,1401,1,0
2022-03-28,تعمیرات موبایل,1401,1,3
2022-03-28,تندرستی و ورزش,1401,1,0
2022-03-28,حیوانات خانگی,1401,1,0
2022-03-28,خدمات شیشه ای ساختمان,1401,1,4
2022-03-28,خدمات فوری آچاره,1401,1,12
2022-03-28,خدمات و تعمیرات خودرو,1401,1,28
2022-03-28,خدمات و تعمیرات ساختمان,1401,1,25
2022-03-28,خدمات کامپیوتری,1401,1,11
2022-03-28,خیاطی و تعمیرات لباس,1401,1,0
2022-03-28,زیبایی بانوان,1401,1,18
2022-03-28,سرمایش و گرمایش,1401,1,62
2022-03-28,شستشو,1401,1,28
2022-03-28,طراحی و بازسازی ساختمان,1401,1,0
2022-03-28,لوله کشی,1401,1,58
2022-03-28,مجالس و رویدادها,1401,1,0
2022-03-28,مشاوره,1401,1,0
2022-03-28,نصب و تعمیر لوازم خانگی,1401,1,59
2022-03-28,نظافت و پذیرایی,1401,1,137
2022-03-28,پزشکی و پرستاری,1401,1,5
2022-03-28,پیرایش و زیبایی آقایان,1401,1,1
2022-03-28,چوب و کابینت,1401,1,16
2022-03-28,کارواش و دیتیلینگ,1401,1,17
2022-03-28,کودک,1401,1,0
2022-03-29,آموزش,1401,1,1
2022-03-29,باربری و جابجایی,1401,1,10
2022-03-29,باغبانی و فضای سبز,1401,1,2
2022-03-29,برقکاری,1401,1,39
2022-03-29,تامین نیروی انسانی,1401,1,0
2022-03-29,تعمیرات موبایل,1401,1,3
2022-03-29,تندرستی و ورزش,1401,1,0
2022-03-29,حیوانات خانگی,1401,1,1
2022-03-29,خدمات بیمه‌,1401,1,0
2022-03-29,خدمات شیشه ای ساختمان,1401,1,8
2022-03-29,خدمات فوری آچاره,1401,1,6
2022-03-29,خدمات و تعمیرات خودرو,1401,1,16
2022-03-29,خدمات و تعمیرات ساختمان,1401,1,33
2022-03-29,خدمات کامپیوتری,1401,1,4
2022-03-29,خیاطی و تعمیرات لباس,1401,1,1
2022-03-29,زیبایی بانوان,1401,1,24
2022-03-29,سرمایش و گرمایش,1401,1,58
2022-03-29,شستشو,1401,1,26
2022-03-29,طراحی و بازسازی ساختمان,1401,1,2
2022-03-29,لوله کشی,1401,1,53
2022-03-29,مجالس و رویدادها,1401,1,0
2022-03-29,نصب و تعمیر لوازم خانگی,1401,1,52
2022-03-29,نظافت و پذیرایی,1401,1,149
2022-03-29,پزشکی و پرستاری,1401,1,4
2022-03-29,پیرایش و زیبایی آقایان,1401,1,2
2022-03-29,چوب و کابینت,1401,1,11
2022-03-29,کارواش و دیتیلینگ,1401,1,9
2022-03-29,کودک,1401,1,0
2022-03-30,آموزش,1401,1,0
2022-03-30,باربری و جابجایی,1401,1,13
2022-03-30,باغبانی و فضای سبز,1401,1,6
2022-03-30,برقکاری,1401,1,39
2022-03-30,تامین نیروی انسانی,1401,1,0
2022-03-30,تعمیرات موبایل,1401,1,1
2022-03-30,تندرستی و ورزش,1401,1,0
2022-03-30,حیوانات خانگی,1401,1,1
2022-03-30,خدمات شرکتی,1401,1,0
2022-03-30,خدمات شیشه ای ساختمان,1401,1,2
2022-03-30,خدمات فوری آچاره,1401,1,6
2022-03-30,خدمات و تعمیرات خودرو,1401,1,8
2022-03-30,خدمات و تعمیرات ساختمان,1401,1,26
2022-03-30,خدمات کامپیوتری,1401,1,4
2022-03-30,خیاطی و تعمیرات لباس,1401,1,2
2022-03-30,زیبایی بانوان,1401,1,27
2022-03-30,سرمایش و گرمایش,1401,1,52
2022-03-30,شستشو,1401,1,16
2022-03-30,طراحی و بازسازی ساختمان,1401,1,1
2022-03-30,لوله کشی,1401,1,61
2022-03-30,مجالس و رویدادها,1401,1,0
2022-03-30,نصب و تعمیر لوازم خانگی,1401,1,57
2022-03-30,نظافت و پذیرایی,1401,1,151
2022-03-30,پزشکی و پرستاری,1401,1,9
2022-03-30,پیرایش و زیبایی آقایان,1401,1,1
2022-03-30,چوب و کابینت,1401,1,20
2022-03-30,کارواش و دیتیلینگ,1401,1,18
2022-03-30,کودک,1401,1,0
2022-03-31,آموزش,1401,1,0
2022-03-31,باربری و جابجایی,1401,1,19
2022-03-31,باغبانی و فضای سبز,1401,1,3
2022-03-31,برقکاری,1401,1,47
2022-03-31,تامین نیروی انسانی,1401,1,0
2022-03-31,تعمیرات موبایل,1401,1,5
2022-03-31,حیوانات خانگی,1401,1,0
2022-03-31,خدمات بیمه‌,1401,1,0
2022-03-31,خدمات شیشه ای ساختمان,1401,1,2
2022-03-31,خدمات فوری آچاره,1401,1,9
2022-03-31,خدمات و تعمیرات خودرو,1401,1,12
2022-03-31,خدمات و تعمیرات ساختمان,1401,1,34
2022-03-31,خدمات کامپیوتری,1401,1,5
2022-03-31,خیاطی و تعمیرات لباس,1401,1,2
2022-03-31,زیبایی بانوان,1401,1,20
2022-03-31,سرمایش و گرمایش,1401,1,66
2022-03-31,شستشو,1401,1,23
2022-03-31,طراحی و بازسازی ساختمان,1401,1,0
2022-03-31,لوله کشی,1401,1,54
2022-03-31,مجالس و رویدادها,1401,1,1
2022-03-31,مشاوره,1401,1,0
2022-03-31,نصب و تعمیر لوازم خانگی,1401,1,63
2022-03-31,نظافت و پذیرایی,1401,1,165
2022-03-31,پزشکی و پرستاری,1401,1,8
2022-03-31,پیرایش و زیبایی آقایان,1401,1,2
2022-03-31,چوب و کابینت,1401,1,20
2022-03-31,کارواش و دیتیلینگ,1401,1,8
2022-03-31,کودک,1401,1,0
