shamsi_year_month,y,yhat,yhat_lower,yhat_upper,service,category,yhat_diff,yhat_low_diff,yhat_high_diff,min_diff_label
(1401-01),173.0,114.90411563490854,-67.238594413648,298.87989265847136,آچار فرانسه,خدمات و تعمیرات ساختمان,58.095884365091464,240.238594413648,125.87989265847136,yhat_diff
(1401-02),123.0,149.19234576366927,-27.13936838441121,323.31615504909416,آچار فرانسه,خدمات و تعمیرات ساختمان,26.192345763669266,150.1393683844112,200.31615504909416,yhat_diff
(1401-03),193.0,188.70765653616752,7.545206916469829,369.699798035293,آچار فرانسه,خدمات و تعمیرات ساختمان,4.292343463832481,185.45479308353018,176.69979803529299,yhat_diff
(1401-04),229.0,221.9969166151912,39.84126563312199,403.2907076114015,آچار فرانسه,خدمات و تعمیرات ساختمان,7.003083384808804,189.158734366878,174.2907076114015,yhat_diff
(1401-05),278.0,275.7909678704748,91.87234149017829,455.873284494224,آچار فرانسه,خدمات و تعمیرات ساختمان,2.2090321295252124,186.1276585098217,177.87328449422398,yhat_diff
(1401-06),240.0,216.43474956970348,37.05386013197161,393.1563116782828,آچار فرانسه,خدمات و تعمیرات ساختمان,23.565250430296516,202.94613986802838,153.1563116782828,yhat_diff
(1401-07),163.0,166.24119837757596,-9.803611735933671,344.95841048968344,آچار فرانسه,خدمات و تعمیرات ساختمان,3.241198377575955,172.80361173593366,181.95841048968344,yhat_diff
(1401-08),159.0,163.60264968275388,-8.983322388616747,336.5005565604643,آچار فرانسه,خدمات و تعمیرات ساختمان,4.602649682753878,167.98332238861676,177.5005565604643,yhat_diff
(1401-09),146.0,161.16158896038294,-16.72329623974785,341.0233625726969,آچار فرانسه,خدمات و تعمیرات ساختمان,15.161588960382943,162.72329623974784,195.0233625726969,yhat_diff
(1401-10),135.0,156.17494858826296,-15.54418403457674,325.2802924995402,آچار فرانسه,خدمات و تعمیرات ساختمان,21.174948588262964,150.54418403457674,190.28029249954022,yhat_diff
(1401-11),171.0,169.67593866940834,-5.393694729865098,345.44513050852896,آچار فرانسه,خدمات و تعمیرات ساختمان,1.324061330591661,176.3936947298651,174.44513050852896,yhat_diff
(1401-12),228.0,300.73538689642413,133.8786776587868,464.4997501523483,آچار فرانسه,خدمات و تعمیرات ساختمان,72.73538689642413,94.12132234121319,236.49975015234833,yhat_diff
(1402-01),201.0,164.00634496538035,-18.086076123078712,344.5859380704312,آچار فرانسه,خدمات و تعمیرات ساختمان,36.99365503461965,219.08607612307873,143.5859380704312,yhat_diff
(1402-02),199.0,204.92947121781083,21.21604934347481,388.0696821636406,آچار فرانسه,خدمات و تعمیرات ساختمان,5.929471217810828,177.78395065652518,189.0696821636406,yhat_diff
(1402-03),251.0,250.8414629308871,71.31784464847786,433.0019698654294,آچار فرانسه,خدمات و تعمیرات ساختمان,0.15853706911289578,179.68215535152214,182.00196986542937,yhat_diff
(1402-04),282.0,291.65234929559443,106.98942769990762,477.0562546033502,آچار فرانسه,خدمات و تعمیرات ساختمان,9.652349295594433,175.01057230009238,195.05625460335023,yhat_diff
(1402-05),310.0,352.2188207342053,170.22881340125707,534.6313454397138,آچار فرانسه,خدمات و تعمیرات ساختمان,42.21882073420528,139.77118659874293,224.63134543971375,yhat_diff
(1402-06),286.0,309.9073385777121,126.23354058439315,492.46922539434473,آچار فرانسه,خدمات و تعمیرات ساختمان,23.907338577712096,159.76645941560685,206.46922539434473,yhat_diff
(1402-07),277.0,256.11380571342124,80.66522302818846,430.938411137468,آچار فرانسه,خدمات و تعمیرات ساختمان,20.886194286578757,196.33477697181155,153.938411137468,yhat_diff
(1402-08),263.0,268.9389701466555,93.55764120870305,445.20741416879287,آچار فرانسه,خدمات و تعمیرات ساختمان,5.9389701466554925,169.44235879129695,182.20741416879287,yhat_diff
(1402-09),261.0,270.1044305964241,94.25831985708952,447.4203471643372,آچار فرانسه,خدمات و تعمیرات ساختمان,9.104430596424095,166.74168014291047,186.42034716433722,yhat_diff
(1402-10),301.0,276.65930132857653,96.61758736634276,454.14103635847744,آچار فرانسه,خدمات و تعمیرات ساختمان,24.340698671423468,204.38241263365722,153.14103635847744,yhat_diff
(1402-11),305.0,291.0102874049116,113.80810807990632,466.73212245338175,آچار فرانسه,خدمات و تعمیرات ساختمان,13.989712595088406,191.19189192009367,161.73212245338175,yhat_diff
(1402-12),546.0,432.7514544690588,263.07436866995386,603.5399230310314,آچار فرانسه,خدمات و تعمیرات ساختمان,113.24854553094121,282.92563133004614,57.539923031031435,yhat_high_diff
(1403-01),288.0,301.45585662986923,120.11588948518651,483.8296845049477,آچار فرانسه,خدمات و تعمیرات ساختمان,13.455856629869231,167.88411051481347,195.8296845049477,yhat_diff
(1403-02),318.0,340.027258257516,158.35043271815206,521.6995512403151,آچار فرانسه,خدمات و تعمیرات ساختمان,22.027258257515996,159.64956728184794,203.69955124031515,yhat_diff
(1403-03),400.0,391.9100085658076,207.9283819103505,570.9672902931054,آچار فرانسه,خدمات و تعمیرات ساختمان,8.089991434192427,192.0716180896495,170.9672902931054,yhat_diff
(1403-04),506.0,428.9336224606471,246.5194230256605,610.552640754306,آچار فرانسه,خدمات و تعمیرات ساختمان,77.06637753935291,259.4805769743395,104.55264075430603,yhat_diff
(1403-05),437.0,493.2934885147301,312.52956119943593,675.7407253602125,آچار فرانسه,خدمات و تعمیرات ساختمان,56.293488514730086,124.47043880056407,238.74072536021254,yhat_diff
(1403-06),402.0,452.5472450231208,269.3457540579149,635.0998827065873,آچار فرانسه,خدمات و تعمیرات ساختمان,50.54724502312081,132.65424594208508,233.09988270658732,yhat_diff
(1403-07),389.0,391.2217680632904,214.0864544192276,568.1112474593895,آچار فرانسه,خدمات و تعمیرات ساختمان,2.221768063290426,174.9135455807724,179.11124745938946,yhat_diff
(1403-08),411.0,407.0853184361763,232.3152973035777,585.6900927115973,آچار فرانسه,خدمات و تعمیرات ساختمان,3.914681563823706,178.6847026964223,174.69009271159734,yhat_diff
(1403-09),431.0,413.0837160083032,238.59727998340685,586.9426223422007,آچار فرانسه,خدمات و تعمیرات ساختمان,17.916283991696787,192.40272001659315,155.9426223422007,yhat_diff
(1403-10),409.0,422.23822303330365,247.61872538640472,598.5219332606611,آچار فرانسه,خدمات و تعمیرات ساختمان,13.238223033303655,161.38127461359528,189.52193326066106,yhat_diff
(1403-11),445.0,449.9485440195284,274.315643315503,627.5508219315952,آچار فرانسه,خدمات و تعمیرات ساختمان,4.948544019528413,170.684356684497,182.55082193159524,yhat_diff
(1403-12),651.0,618.6683209150722,442.5910426292682,795.521927755806,آچار فرانسه,خدمات و تعمیرات ساختمان,32.33167908492783,208.4089573707318,144.52192775580602,yhat_diff
(1404-01),357.0,499.338146546832,316.1522963107112,682.1258913196086,آچار فرانسه,خدمات و تعمیرات ساختمان,142.33814654683198,40.84770368928878,325.1258913196086,yhat_low_diff
(1404-02),600.0,562.5661075604984,379.7099732640965,745.0973576629426,آچار فرانسه,خدمات و تعمیرات ساختمان,37.43389243950162,220.2900267359035,145.0973576629426,yhat_diff
